Scapteromys tumidus	アルゼンチンミズネズミ
Wiedomys pyrrhorhinos	アカハナコメネズミ
Akodon nigrita	クロヤチマウス
Reithrodontomys mexicanus	メキシコカヤマウス
Sigmodon fulviventer	キバラコトンラット
Hypogeomys antimena	オオミミアシナガマウス
Stenocephalemys griseicauda	ホソズネズミ
Stenocephalemys albocaudata	オジロホソズネズミ
Ctenodactylus vali	サバクグンディ
Massoutiera mzabi	ケナガグンディ
Dicrostonyx hudsonius	ラブラドルクビワレミング
Apodemus microps	コアシアカネズミ
Marmota baibacina	ステップマーモット
Marmota bobak	ボバクマーモット
Marmota broweri	アラスカマーモット
Marmota caligata	シラガマーモット
Marmota camtschatica	ズグロマーモット
Marmota flaviventris	キバラマーモット
Marmota himalayana	ヒマラヤマーモット
Marmota menzbieri	ティエンシャンマーモット
Marmota olympus	オリンピックマーモット
Marmota sibirica	シベリアマーモット
Marmota vancouverensis	バンクーバーマーモット
Dipodomys merriami	メリアムカンガルーネズミ
Dipodomys microps	ネバダカンガルーネズミ
Peromyscus attwateri	カンザスシロアシマウス
Peromyscus madrensis	トレスマリアスシロアシマウス
Peromyscus pectoralis	ムネフシロアシマウス
Peromyscus polius	チワワシロアシマウス
Peromyscus stephani	サンエステバンシロアシマウス
Microtus kirgisorum	ティエンシャンハタネズミ
Microtus longicaudus	オナガハタネズミ
Alticola macrotis	オオミミコウザンネズミ
Synaptomys borealis	キタヌマレミング
Zapus trinotatus	タイヘイヨウトビハツカネズミ
Peromyscus simulus	ニセシロアシマウス
Spermophilus adocetus	ネッタイジリス
Spermophilus annulatus	ワオジリス
Spermophilus armatus	ユインタジリス
Spermophilus atricapillus	イワジリス
Spermophilus beldingi	ベルディングジリス
Spermophilus dauricus	ダウリアハタリス
Spermophilus elegans	エレガントジリス
Spermophilus erythrogenys	ホオアカハタリス
Spermophilus fulvus	オオバハタリス
Spermophilus madrensis	シエラマドレジリス
Spermophilus major	アカハタリス
Spermophilus mexicanus	メキシコジリス
Spermophilus mohavensis	モハーベジリス
Spermophilus musicus	コーカサスハタリス
Spermophilus perotensis	ペロテジリス
Spermophilus pygmaeus	ヒメハタリス
Spermophilus relictus	ティエンシャンハタリス
Spermophilus saturatus	カスケードキンイロジリス
Spermophilus suslicus	ホシハタリス
Spermophilus tereticaudus	マルオジリス
Spermophilus undulatus	オナガホッキョクジリス
Spermophilus washingtoni	ワシントンジリス
Spermophilus xanthoprymnus	キハタリス
Spermophilopsis leptodactylus	ツメナガハタリス
Geomys pinetis	ミナミホリネズミ
Apodemus mystacinus	ヒロバアカネズミ
Mus poschiavinus	スイスハツカネズミ
Microtus abbreviatus	ベーリングハタネズミ
Microtus californicus	カリフォルニアハタネズミ
Microtus canicaudus	ハイオハタネズミ
Microtus fortis	ヨシハタネズミ
Microtus gregalis	ホソガオハタネズミ
Microtus kikuchii	キクチハタネズミ
Microtus middendorffi	ミッデンドルフハタネズミ
Hylopetes phayrei	シロミミクサビオモモンガ
Petinomys setosus	シロハラハネオモモンガ
Idiurus macrotis	オオミミピグミーウロコオリス
Napaeozapus insignis	モリトビハツカネズミ
Heteromys gaumeri	ユカタンモリポケットマウス
Dipodomys ingens	オオカンガルーネズミ
Neotoma cinerea	フサオウッドラット
Neotoma goldmani	ゴルドマンウッドラット
Neotoma mexicana	メキシコウッドラット
Neotoma micropus	コアシウッドラット
Neotoma fuscipes	クロアシウッドラット
Dipodomys spectabilis	ハタオカンガルーネズミ
Apodemus speciosus	アカネズミ
Apodemus peninsulae	ハントウアカネズミ
Apodemus gurkha	ヒマラヤアカネズミ
Akodon serrensis	セルヤチマウス
Diplothrix legata	ケナガネズミ
Deomys ferrugineus	コンゴキノボリマウス
Dendromus mystacalis	クリゲキノボリマウス
Calomyscus bailwardi	カンガルーハムスター
Cricetomys emini	モリアフリカオニネズミ
Macrotarsomys bastardi	アシナガマウス
Steatomys parvus	チビカミンマウス
Brachytarsomys albicauda	オジロアシナガマウス
Brachyuromys betsileoensis	チビオアシナガマウス
Gymnuromys roberti	ロバートアシナガマウス
Petromyscus collinus	コビトイワマウス
Brachyuromys ramirohitra	ラミロヒトラアシナガマウス
Eliurus minor	コフデオアシナガマウス
Eliurus myoxinus	フデオアシナガマウス
Dipodomys elator	テキサスカンガルーネズミ
Dipodomys nelsoni	ネルソンカンガルーネズミ
Dipodomys phillipsii	フィリップカンガルーネズミ
Microdipodops megacephalus	クロヒメカンガルーマウス
Geomys arenarius	サバクホリネズミ
Geomys tropicalis	ネッタイホリネズミ
Ctenomys maulinus	チリツコツコ
Proechimys oris	ヤマトゲネズミ
Agouti paca	パカ
Dinomys branickii	パカラナ
Calomyscus mystax	ヒゲカンガルーハムスター
Phodopus roborovskii	ロボロフスキーキムゲネズミ
Otomys angoniensis	アンゴニヤブカローネズミ
Microtus miurus	アラスカハタネズミ
Microtus oregoni	オレゴンハタネズミ
Microtus richardsoni	アメリカミズハタネズミ
Microtus townsendii	タウンゼンドハタネズミ
Malacomys longipes	オオアシヌマネズミ
Ctenomys azarae	パンパスツコツコ
Ctenomys bonettoi	ボネットツコツコ
Ctenomys latro	トウゾクツコツコ
Ctenomys occultus	フサギツコツコ
Ctenomys tuconax	ホリネズミツコツコ
Thomomys bulbivorus	キタホリネズミ
Andalgalomys olrogi	アルゼンチンステップマウス
Andalgalomys pearsoni	パラグアイステップマウス
Andinomys edax	アンデスマウス
Graomys domorum	アンデスヤママウス
Graomys griseoflavus	ハイイロヤママウス
Colomys goslingi	アフリカミズネズミ
Aethomys chrysophilus	アカヤブネズミ
Lemniscomys macculus	エチオピアクサマウス
Lemniscomys rosalia	ケニアクサマウス
Lemniscomys striatus	ホシフクサマウス
Otomys irroratus	ミナミヤブカローネズミ
Otomys sloggetti	スロゲットヤブカローネズミ
Rhabdomys pumilio	ヨスジクサマウス
Pelomys campanae	ヘイゲンクルークネズミ
Pelomys fallax	ミゾバクルークネズミ
Parotomys littledalei	リトルデールカローネズミ
Mylomys dybowskii	ミユビクサネズミ
Millardia meltada	ミラードヤワゲネズミ
Golunda ellioti	エリオットヤブネズミ
Saccostomus campestris	ミナミチビオホオブクロネズミ
Tamias bulleri	ブラーシマリス
Tamias cinereicollis	クビワシマリス
Tamias merriami	メリアムシマリス
Tamias obscurus	ススイロシマリス
Tamias palmeri	パルマーシマリス
Tamias panamintinus	パナミントシマリス
Tamias quadrimaculatus	ミミナガシマリス
Tamias ruficaudus	アカオシマリス
Tamias rufus	アカシマリス
Tamias sonomae	ソノマシマリス
Tamias townsendii	タウンゼンドシマリス
Tamias umbrinus	ユインタシマリス
Abrocoma cinerea	イワチンチラネズミ
Callosciurus nigrovittatus	ワキスジリス
Proechimys guyannensis	ギアナトゲネズミ
Proechimys cuvieri	キュビエトゲネズミ
Apodemus draco	タツアカネズミ
Reithrodontomys humulis	トウブカヤマウス
Reithrodontomys montanus	ヘイゲンカヤマウス
